Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.99141E+11,2.04092E+11,2.06736E+11,2.19584E+11,2.34908E+11,2.48964E+11,2.54896E+11,2.7096E+11,2.84768E+11,3.04828E+11,3.26691E+11,3.39771E+11,3.53065E+11,3.62292E+11,3.77159E+11,3.8225E+11,3.92141E+11,4.06249E+11,4.09892E+11,4.26466E+11,4.39405E+11,4.54072E+11,4.69186E+11,4.58768E+11,4.79785E+11,5.0497E+11,5.25357E+11,5.38771E+11,5.697E+11,5.91717E+11,6.12845E+11,6.10411E+11,6.12929E+11,6.37627E+11,6.63021E+11,6.88455E+11,7.15158E+11,7.43524E+11,7.77553E+11,8.17003E+11,8.49137E+11,8.65532E+11,9.00166E+11,9.27044E+11,9.64641E+11,9.95549E+11,1.02337E+12,1.06271E+12,1.10159E+12,1.12292E+12,1.14614E+12,1.17437E+12,1.22038E+12,1.25192E+12,1.28364E+12,1.31178E+12,1.34813E+12,1.38005E+12,1.42062E+12
Austria,AUT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,91836704604,96922602310,99489767156,1.03607E+11,1.09952E+11,1.13779E+11,1.20199E+11,1.23815E+11,1.29352E+11,1.3747E+11,1.4616E+11,1.53636E+11,1.63173E+11,1.71153E+11,1.779E+11,1.77253E+11,1.85369E+11,1.94785E+11,1.94375E+11,2.04787E+11,2.08333E+11,2.08032E+11,2.12216E+11,2.18526E+11,2.18638E+11,2.24101E+11,2.29258E+11,2.3237E+11,2.40028E+11,2.49358E+11,2.60195E+11,2.6915E+11,2.74784E+11,2.76232E+11,2.82867E+11,2.90414E+11,2.97238E+11,3.0346E+11,3.14329E+11,3.25507E+11,3.36495E+11,3.40759E+11,3.46387E+11,3.49648E+11,3.59212E+11,3.67273E+11,3.79958E+11,3.94121E+11,3.99877E+11,3.84823E+11,3.91893E+11,4.03347E+11,4.06092E+11,4.06195E+11,4.08881E+11,4.13029E+11,4.21631E+11,4.32073E+11,4.42528E+11
Azerbaijan,AZE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22672997489,22514286465,17426057714,13400638502,10760712621,9490948560,9614330841,10171962031,11189158352,12017156024,13351060283,14672815269,16057770027,17696995366,19334640158,24740902926,33268154327,41739296292,46160087686,50485058387,52902703376,52070545111,53217627468,56326959563,57902587622,58510999630,56718105559,56558154150,57357249338
Burundi,BDI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,597069961.5,514995918.3,561670811.7,584898188.1,621589073.1,646248914,676060330.5,769502134.9,767209913.7,756012169.3,917236835.2,942431760,882078760.6,942845613.8,935992638.9,942525120.9,1017386696,1134075385,1123408545,1142112791,1153431765,1293726849,1280096145,1327655903,1329720992,1486404412,1534715238,1619172093,1700633035,1723583116,1783905460,1873044298,1891962015,1773903585,1705963078,1570850802,1445182738,1422204332,1489759038,1474712472,1462076191,1492133657,1558481670,1539410094,1613819909,1628344288,1716499708,1775752462,1862084450,1933081018,2032135247,2114083183,2208090294,2316820972,2415069278,2320881502,2306955749,2318490758,2355816908
Belgium,BEL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.19183E+11,1.25117E+11,1.31638E+11,1.37366E+11,1.46922E+11,1.52154E+11,1.56956E+11,1.63027E+11,1.69864E+11,1.81126E+11,1.91254E+11,1.98877E+11,2.09409E+11,2.22773E+11,2.32943E+11,2.28364E+11,2.41273E+11,2.42783E+11,2.49683E+11,2.55528E+11,2.66884E+11,2.66139E+11,2.67722E+11,2.68557E+11,2.75181E+11,2.79726E+11,2.84825E+11,2.91395E+11,3.05158E+11,3.15744E+11,3.25651E+11,3.3162E+11,3.36696E+11,3.33457E+11,3.44218E+11,3.52427E+11,3.57084E+11,3.7063E+11,3.77902E+11,3.9129E+11,4.05833E+11,4.10295E+11,4.17299E+11,4.2163E+11,4.36687E+11,4.46826E+11,4.5823E+11,4.75079E+11,4.77202E+11,4.67559E+11,4.80952E+11,4.89101E+11,4.92717E+11,4.9498E+11,5.02793E+11,5.13014E+11,5.20766E+11,5.30995E+11,5.38739E+11
Benin,BEN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1266660748,1306450115,1261685780,1321363870,1409244598,1483848074,1536908445,1553482445,1613172454,1659591459,1694405665,1669043092,1776301935,1842134622,1903649247,1810459040,1826469950,1917495070,1941561129,2068456661,2208734507,2428597046,2482877801,2374926675,2563254551,2756275945,2816118598,2773876736,2868334043,2786467186,3036584225,3164904183,3258512897,3448685317,3518362570,3731054577,3892395974,4115612754,4278632675,4507173673,4771293694,5025623251,5259036816,5440160403,5681139327,5778376437,6006449749,6366026796,6677319053,6832853927,6977040762,7183753062,7529756965,8071125130,8583789434,8763689212,9111157212,9643050472,10304371092
Burkina Faso,BFA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1153497472,1200144079,1273698494,1257547789,1286255332,1334676997,1341852395,1460248259,1505089182,1535583508,1537380442,1559108853,1595147635,1602315070,1735089730,1787114364,1939642698,1946826234,2036532580,2111163791,2127987209,2218539521,2430680632,2439090416,2395706396,2599757454,2806577589,2799944614,2962218007,3025913611,3007669516,3280464674,3288098668,3401912420,3446647816,3643671091,4045012129,4300528860,4614799452,4956487462,5046707524,5380466456,5614678394,6052760301,6323831618,6871593161,7301284780,7714172808,8276883001,8522045465,8979966766,9575057058,10192906646,10783339867,11249917445,11688050886,12378350092,13164365188,14063805709
Bangladesh,BGD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,17862545311,18944687033,19977746684,19886669278,22064814113,22419232005,22994691543,22563342421,24704480424,25006087027,26411392182,24964184430,21475757025,22189972024,24318424444,23324235189,24644704391,25303471152,27093397642,28394323598,28626913391,30697768187,31352959199,32569782093,34134209698,35274979988,36747139851,38133389635,39054790277,40162611478,42420657180,43899113723,46288404443,48469311189,50354828680,52933639391,55327785139,57811945427,60804885377,63644568604,67013463193,70415929567,73115059421,76580396942,80592852042,85860356478,91588877879,98053769823,1.03951E+11,1.09195E+11,1.15279E+11,1.22731E+11,1.30735E+11,1.38597E+11,1.46997E+11,1.5663E+11,1.67771E+11,1.79992E+11,1.94146E+11
Bulgaria,BGR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,28567896237,29967769392,30667386625,31719371802,32796702383,33676782456,35093767429,37218524435,41291977325,39933519968,36292630364,33227588805,30811149655,30355078449,30906937187,31790934141,32014958711,31666373359,33676864762,30845268715,32315283606,33533640179,35524705564,37356436984,39760457561,42592798159,45520779748,48864017869,51806552051,49948693651,50610058210,51579193177,51595167186,51850006769,52802761608,54635643698,56786516854,58950791932,60767158522
Bahrain,BHR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,7624228989,7218871809,6673398138,7098919149,7454123936,7099436702,7183422606,7930427394,8485556649,8516444681,8894404255,9893245745,10555103723,11913546277,11883762234,12350793085,12858411436,13256122074,13891090691,14488407447,15256303191,15636329787,16159920213,17177420213,18376569149,19620478723,20889335106,22621888298,24033909574,24644494681,25713271277,26223297872,27200957447,28674388298,29921808511,30778484043,31847579787,33058909574,33646276596
"Bahamas, The",BHS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1942538098,2149750529,2374441850,2624329421,2899925139,3202259632,3492766343,3828006034,4150391652,4523165825,4267622809,4337036067,4185355346,4502084993,3747795360,3193004479,3358567667,3666042160,4185869346,5280026115,5622978697,5104179905,5446103698,5642002873,6441539485,6752613029,6873957500,7079112092,7242618886,7729853745,7606466025,7288379986,7009557036,7031132893,7252537335,7570107965,7889833778,8052541058,8432337725,9034753608,9409627492,9656694581,9917865835,9792432526,9878884031,10214307273,10471385975,10622859247,10375987507,9942763009,10095760000,10157636656,10471190627,10162071068,10236918868,10298092269,10344048017,10350943822,10513014753
Bosnia and Herzegovina,BIH,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2761373562,3335739278,6303135043,8470756370,9792194056,10732244665,11322518168,11820708912,12447206516,12945094785,13734741266,14937802511,15747023558,16669103898,17573690593,17045996153,17176781337,17332789319,17211525256,17616174497,17818414205,18368686543,18946501376,19349615814,20050758075
Belarus,BLR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32406543392,32017666307,28943969894,26744227649,23615151972,21159176051,21751633964,24231321412,26266750331,27159819623,28735090095,30092911030,31611178884,33837615083,37711935083,41256857555,45382541170,49285442677,54312557554,54421180122,58665088956,61820512466,62863508301,63494325276,64590481691,62116943621,60547592313,62080768455,63974173258
Belize,BLZ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,97311899.81,102072667.7,107066728.3,112373420.3,117991956.3,123809598.1,129716362.2,136089486.9,146115506.2,153576711.5,160960208.9,167333333.5,184431962,194302565.3,220649964.4,228577530.2,228499766,243344468.7,262619314.9,282360465.3,320300342.4,323931814.2,323582905.9,316647941.9,322892445.2,326161776.1,340967749.5,377571674.5,414527300.4,468454073.6,522061094.3,581910368.2,652085531.1,693008410.1,694105881,698577577.4,708554734,733670669.3,761114695.8,827932951.6,935726322.9,982658470.9,1032969455,1129324343,1181816324,1212283653,1267825646,1281842550,1323231396,1332107652,1377179137,1406962107,1448296018,1460634553,1514566606,1566545782,1557334123,1579717514,1627668317
Bermuda,BMU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1236024651,1293870605,1351706621,1366169881,1517951355,1590205840,1818617224,2060039383,2103408633,2175690717,2313026676,2392536968,2435906218,2472047260,2493731885,2587698594,2819001261,2985250054,3028619304,3093673179,3339432263,3418942555,3238237346,3303291222,3319193280,3252693763,3469540014,3599647764,3745657573,3762282453,3763005273,3630006240,3627837777,3736983723,3759391169,3924772345,4026835110,4212069525,4376340237,4524376453,4945919646,5303135528,5224766301,5402967730,5528385008,5620941625,5932559093,6101393206,6194616021,5867281537,5744414000,5552579616,5284137924,5151445060,,,,,
Bolivia,BOL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3676733642,3753551489,3962959043,4232346168,4399803030,4615984798,4946978127,5259489595,5708094766,5963480482,6275431893,6593178123,7118488615,7527030174,7748292331,8314771357,8698462092,9130881401,9318310508,9330735920,9202739206,9228103798,8864632688,8506313733,8489243603,8346931015,8132091481,8332423696,8574855960,8899854152,9312432337,9802874144,9964278166,10389682466,10874597044,11383340336,11879806860,12468357290,13095434909,13151337955,13481148202,13708143902,14048868708,14429781404,15031978652,15696607782,16449575497,17200397084,18257963016,18870883064,19649631451,20672217125,21731104864,23207953294,24475239169,25664047553,26758341882,27880910347,29058495428
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.46662E+11,2.72009E+11,2.86197E+11,2.887E+11,2.98763E+11,3.07886E+11,3.20664E+11,3.36425E+11,3.7487E+11,4.11366E+11,4.47443E+11,4.97982E+11,5.58003E+11,6.36004E+11,6.93513E+11,7.29638E+11,8.01073E+11,8.37973E+11,8.65054E+11,9.23586E+11,1.00773E+12,9.6346E+11,9.6905E+11,9.36008E+11,9.85327E+11,1.06362E+12,1.14859E+12,1.18993E+12,1.18871E+12,1.22769E+12,1.1896E+12,1.20759E+12,1.20195E+12,1.25802E+12,1.32513E+12,1.38366E+12,1.41421E+12,1.46222E+12,1.46716E+12,1.47403E+12,1.53871E+12,1.56009E+12,1.60773E+12,1.62607E+12,1.71973E+12,1.7748E+12,1.84512E+12,1.95711E+12,2.05681E+12,2.05422E+12,2.20887E+12,2.29666E+12,2.34078E+12,2.41112E+12,2.42327E+12,2.33735E+12,2.26009E+12,2.28413E+12,2.30966E+12
Barbados,BRB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,2730280860,2678405523,2795189656,2896996215,3038280962,3278092726,3421445845,3356446874,3191949478,3207949224,3323447396,3359946819,3531444104,3622942656,3749940646,3884938509,3756440543,3609942862,3404446114,3431445687,3500444595,3570943479,3712941231,3888938446,4033936151,4047435937,4227433088,4127434671,4159934156,4250432724,4310431774,4480929076,4734925055,4822923662,4866922966,4630426709,4529928300,4493928870,4490928917,4429429891,4421930009,4519428466,4622426836,4614426963,4591427327
Brunei Darussalam,BRN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,7076283755,7101437330,8532760029,9464255592,10105537880,12385592666,11519009534,9235168243,9600571984,9648715585,9706595966,9561894976,9302244591,9489138761,9593269454,9490220609,9593609021,9895418335,10366299817,10397872754,10724927173,11205265273,11527788412,11358194866,11294758343,11639492116,11971150348,12299643564,12775897690,13146904070,13213206307,13264408434,13847739934,13869146021,13600124166,13360145141,13707370737,14220755409,14350568390,14045471214,13715438210,13637697103,13301457646,13478181151,13485221856
Bhutan,BTN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,158707544.2,180780159.4,186951888.2,208097480.9,217424628.8,226582065,253161447.8,325809328.7,342058383.7,367482305.6,407451278.6,405789382.3,424459311.2,432890629.1,454325224.5,486464723.7,513537326.5,541133993.2,573136824.4,618895908.1,661804111.4,717057835.6,795878851.5,858142863.1,909706454,975999030.3,1044316409,1236061819,1295386119,1382803098,1547991318,1671561537,1757118757,1794369196,1898020852,2024091805,2188590422,2290400033,2359745114
Botswana,BWA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,205010514,218014912.6,232549242.6,246318588.1,263147815.3,278447111.1,296111848.9,313655172.9,346799292.3,399247152.8,467599334,588338659.4,743436149.3,901811720.8,981151269.3,1064021762,1177312167,1318731377,1507742529,1690911970,1893599921,2065252055,2316500951,2621045055,2845023410,3047739046,3296828452,3688555239,4405978108,4981372673,5318752174,5715462428,5882186485,5994895480,6212385254,6649141424,7036773076,7622647125,7656466027,8396635030,8563534596,8584992576,9106061350,9527298168,9785089873,10230961746,11086666195,12004283369,12754003367,11778027466,12786654366,13560031675,14164289360,15771004795,16425389503,16146492037,16841394662,17331063454,18102917021
Central African Republic,CAF,GDP (constant 2010 US$),NY.GDP.MKTP.KD,899673476.7,944239286.4,909172126.1,902744181.4,921524190.6,930256357.7,936254499.3,980039499.9,993800363.7,1064276139,1089104434,1101413518,1101403967,1122208826,1193346021,1198178919,1263270216,1311353248,1327210596,1294493026,1236517358,1217419772,1311353248,1204785948,1319020458,1370821287,1419868989,1349741831,1372824647,1399969103,1369904374,1362335063,1274817593,1279091747,1341766595,1438374401,1380838088,1454021623,1522362710,1577167385,1537904869,1606568308,1664670528,1574820183,1669228829,1684388941,1764752577,1846064167,1883984742,2045767418,2140503193,2230289068,2343002553,1490337601,1491545825,1556235973,1630162112,1703964086,1768534844
Canada,CAN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.94599E+11,3.03918E+11,3.26485E+11,3.43951E+11,3.66799E+11,3.89969E+11,4.16116E+11,4.28979E+11,4.50409E+11,4.73135E+11,4.8714E+11,5.0648E+11,5.34386E+11,5.70915E+11,5.89643E+11,5.98259E+11,6.33428E+11,6.55207E+11,6.79341E+11,7.04553E+11,7.19739E+11,7.44744E+11,7.21007E+11,7.39763E+11,7.83472E+11,8.20588E+11,8.38189E+11,8.72328E+11,9.10799E+11,9.31902E+11,9.33437E+11,9.13964E+11,9.22192E+11,9.46731E+11,9.89281E+11,1.01593E+12,1.03238E+12,1.07657E+12,1.10667E+12,1.15062E+12,1.2072E+12,1.22417E+12,1.26606E+12,1.31431E+12,1.36575E+12,1.43398E+12,1.49372E+12,1.59632E+12,1.6124E+12,1.56519E+12,1.61354E+12,1.66432E+12,1.69365E+12,1.73311E+12,1.78283E+12,1.79513E+12,1.815E+12,1.86906E+12,1.90452E+12
Central Europe and the Baltics,CEB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85863E+11,8.19869E+11,8.44888E+11,8.68274E+11,8.85458E+11,9.21074E+11,9.4889E+11,9.82472E+11,1.02267E+12,1.08216E+12,1.13597E+12,1.21083E+12,1.28856E+12,1.33899E+12,1.2928E+12,1.31343E+12,1.35586E+12,1.36619E+12,1.3834E+12,1.42547E+12,1.48118E+12,1.52637E+12,1.59962E+12,1.66849E+12
Switzerland,CHE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,3.06456E+11,3.18945E+11,3.29153E+11,3.39192E+11,3.44127E+11,3.19063E+11,3.14585E+11,3.22241E+11,3.23559E+11,3.3162E+11,3.46881E+11,3.52436E+11,3.47821E+11,3.50044E+11,3.60575E+11,3.73821E+11,3.80769E+11,3.86806E+11,3.99484E+11,4.16785E+11,4.321E+11,4.28143E+11,4.27956E+11,4.27416E+11,4.32844E+11,4.34925E+11,4.37273E+11,4.47506E+11,4.60886E+11,4.68697E+11,4.8715E+11,4.93542E+11,4.94345E+11,4.9454E+11,5.0827E+11,5.24104E+11,5.45009E+11,5.67419E+11,5.79645E+11,5.66765E+11,5.83783E+11,5.93665E+11,5.99638E+11,6.10744E+11,6.25702E+11,6.34045E+11,6.44967E+11,6.56573E+11,6.74632E+11
Channel Islands,CHI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,29375692257,30916527184,32161438540,34039711621,34910182119,35241923981,39201792005,40619328747,42078380450,43735420036,44535326423,48731750486,48234712071,45808868608,46900104265,40844315409,42409708110,46839269115,50446409757,54693142234,59061276084,62915243091,55985566287,53176534993,55358731549,57578570294,60674968648,64594855902,69339419416,76220235503,78761086957,84907911074,94389329346,1.00608E+11,1.05669E+11,1.15109E+11,1.2294E+11,1.32072E+11,1.37783E+11,1.37215E+11,1.44525E+11,1.49298E+11,1.53937E+11,1.60235E+11,1.71787E+11,1.81652E+11,1.93128E+11,2.02601E+11,2.09752E+11,2.06471E+11,2.18538E+11,2.31892E+11,2.44226E+11,2.54105E+11,2.58594E+11,2.64551E+11,2.68971E+11,2.72411E+11,2.83375E+11
China,CHN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.28268E+11,93289020923,88083493565,97156093398,1.14819E+11,1.34281E+11,1.48582E+11,1.40009E+11,1.34268E+11,1.57013E+11,1.87317E+11,2.00541E+11,2.08182E+11,2.24337E+11,2.29519E+11,2.49533E+11,2.45616E+11,2.64209E+11,2.93626E+11,3.15942E+11,3.40606E+11,3.58224E+11,3.90229E+11,4.32511E+11,4.9799E+11,5.64937E+11,6.1544E+11,6.87379E+11,7.64603E+11,7.96608E+11,8.27732E+11,9.04662E+11,1.03327E+12,1.17656E+12,1.33013E+12,1.47577E+12,1.62228E+12,1.77203E+12,1.91092E+12,2.05744E+12,2.23215E+12,2.41831E+12,2.63911E+12,2.90396E+12,3.19759E+12,3.56198E+12,4.01504E+12,4.58644E+12,5.02923E+12,5.50197E+12,6.08716E+12,6.66854E+12,7.19267E+12,7.75144E+12,8.31726E+12,8.89159E+12,9.49059E+12,1.01319E+13,1.07972E+13
Cote d'Ivoire,CIV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4289508128,4715565889,4773425623,5465111983,6427686956,6227808114,6948823860,7268341328,8180390870,8960736252,9890415491,10825716247,11284361249,11954561755,12471881172,13501171353,15245036304,16360128257,18144928866,18579392397,16543518825,17122624520,17157010577,16487845912,16042466089,16764573291,17310989204,17250578541,17446628600,17960956074,17764120445,17771390442,17727928620,17693804999,17837338328,19108381523,20585330896,21355953698,22408947356,22771418229,22300414202,22327480641,21955138166,21656650171,21923410906,22300767039,22638811513,23038394864,23624224724,24392355457,24884505035,23792758396,26340131050,28681616270,31203899802,33963216960,36670680111,39495088685,42430786915
Cameroon,CMR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4950872798,5009475330,5161841480,5355025995,5544977318,5657321537,5918404416,5272584244,5607199516,5882035252,6063911795,6274918208,6442699688,6787750116,7516365015,8361584679,7902104029,8987842970,10965438501,11627215739,11398707037,13345911940,14349017721,15334340456,16480516857,17809367576,19015357945,18607164723,17151408634,16839403842,15811240758,15209053941,14737572781,13568578696,13856766549,14337567546,14962841271,15745595486,16454508052,17160738326,17770523602,18546755043,19332618830,20215577280,21586386665,22022574644,22784042335,23900962053,24734819037,25278654624,26143818510,27223369236,28460199047,29998263825,31763379465,33558475340,35118434874,36364818793,37842105126
